,timestamp,hashtags,tweets,replies,retweets,likes,username,location,friends,followers,verified,all_hashtags,all_hashtags_seg,tweets_prep,tweets_clean,label
884,2020-09-30 11:14:27,conflict,#News #World #Conflict #Europe #Armenia #Azerbaijan - #RT muestra en #exclusiva #imágenes de un #enorme #dron #derribado por Nagorno... https://youtu.be/p3Ytlwc32I4 a través de @YouTube,,,2.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,News World Conflict Europe Armenia Azerbaijan RT exclusiva imágenes enorme dron derribado,news world conflict europe armenia azerbaijan rt exclusiv aim genes enorme dr onder riba do,      -  muestra en   de un    por Nagorno...  a través de ,        muestra en   de un    por Nagorno  a través de ,Azerbaijan_Armenia
885,2020-09-30 11:12:25,conflict,#News #World #Conflict #Europe #Armenia #Azerbaijan - #DIRECTO: #CONFLICTO DEL #NAGORNOKARABAJ https://youtu.be/DSrln6ZkxII a través de @YouTube,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,News World Conflict Europe Armenia Azerbaijan DIRECTO CONFLICTO NAGORNOKARABAJ,news world conflict europe armenia azerbaijan directo conflicto nagorno kara baj,      - :  DEL   a través de ,         DEL   a través de ,Azerbaijan_Armenia
886,2020-09-30 11:08:37,conflict,#News #World #Conflict #Europe #Armenia #Azerbaijan #CGTN- Al menos 95 #personas han #muerto en #NagornoKarabaj https://youtu.be/hoGqADomeF4 a través de @YouTube,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,News World Conflict Europe Armenia Azerbaijan CGTN personas muerto NagornoKarabaj,news world conflict europe armenia azerbaijan cgt n person as muerto nagorno kara baj,      - Al menos   han  en   a través de ,       Al menos   han  en   a través de ,Azerbaijan_Armenia
887,2020-09-30 11:06:51,conflict,#News #World #Conflict #Europe #Armenia #Azerbaijan - ARMENIA y #AZERBAIYÁN reavivan la #GUERRA por #NagornoKarabaj | #RTVE https://youtu.be/1YLUM3cW-74 a través de @YouTube,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,News World Conflict Europe Armenia Azerbaijan AZERBAIYÁN GUERRA NagornoKarabaj RTVE,news world conflict europe armenia azerbaijan az erba iyn guerra nagorno kara bajr tv e,      - ARMENIA y  reavivan la  por  |   a través de ,       ARMENIA y  reavivan la  por     a través de ,Azerbaijan_Armenia
888,2020-09-30 11:06:39,conflict,"Recommended listening ; learning  „The causes of problems we deal with in #development ; #humanitarian aid are getting worse: #conflict, #climatechange, and #pandemics.“ @MarkLowcock #AwakeAtNight",,1.0,,KatriBertram,"Berlin, Germany",206,"3,543",0,development humanitarian conflict climatechange pandemics AwakeAtNight,development humanitarian conflict climate change pandemics awake at night,"Recommended listening ; learning  „The causes of problems we deal with in  ;  aid are getting worse: , , and .“  ",Recommended listening  learning  „The causes of problems we deal with in    aid are getting worse   and “  ,covid
890,2020-09-30 10:48:13,conflict,Armenia's Jet shot down by Turkish jet in a major escalation of conflict https://expect.ng/2020/09/30/armenias-jet-shot-down-by-turkish-jet-in-a-major-escalation-of-conflict/… #conflict #Turkey #news #Armenia,,,,ogaziecoin,,"1,006",86,0,conflict Turkey news Armenia,conflict turkey news armenia,Armenia's Jet shot down by Turkish jet in a major escalation of conflict …    ,Armenias Jet shot down by Turkish jet in a major escalation of conflict …    ,Azerbaijan_Armenia
891,2020-09-30 10:45:29,conflict,"Governo armênio publica imagens dos destroços de um caça Su-25 armênio que, segundo eles, foi abatido pela Turquia ontem #Armenian #Turkey #conflict",,,,News10282826,"São Paulo, Brasil",149,40,0,Armenian Turkey conflict,armenian turkey conflict,"Governo armênio publica imagens dos destroços de um caça Su- armênio que, segundo eles, foi abatido pela Turquia ontem   ",Governo armênio publica imagens dos destroços de um caça Su armênio que segundo eles foi abatido pela Turquia ontem   ,Azerbaijan_Armenia
894,2020-09-30 10:36:23,conflict,#News #World #Conflict #Europe #Armenia #Azerbaijan - #Guerra en el #Cáucaso: las #claves del #conflicto entre Armenia y #Azerbaiyán https://youtu.be/F-ZJKOvc9jM a través de @YouTube,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,News World Conflict Europe Armenia Azerbaijan Guerra Cáucaso claves conflicto Azerbaiyán,news world conflict europe armenia azerbaijan guerra cuca so claves conflict oazerbaiyn,      -  en el : las  del  entre Armenia y   a través de ,        en el  las  del  entre Armenia y   a través de ,Azerbaijan_Armenia
895,2020-09-30 10:35:12,conflict,#News #World #Conflict #Europe #Armenia #Azerbaijan - AZERBAIYÁN  ARMENIA: #Historia de #NAGORNOKARABAJ (Artsaj) |Histor... https://youtu.be/bC3aqRMBj9Y a través de @YouTube,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,News World Conflict Europe Armenia Azerbaijan Historia NAGORNOKARABAJ,news world conflict europe armenia azerbaijan historia nagorno kara baj,      - AZERBAIYÁN  ARMENIA:  de  (Artsaj) |Histor...  a través de ,       AZERBAIYÁN  ARMENIA  de  Artsaj Histor  a través de ,Azerbaijan_Armenia
896,2020-09-30 10:33:13,conflict,#Euronews #News #World #Conflict #Europe #Armenia #Azerbaijan - El #conflicto en #NagornoKarabaj amplía sus #contornos https://youtu.be/9h4HII3nN9E a través de @YouTube,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,Euronews News World Conflict Europe Armenia Azerbaijan conflicto NagornoKarabaj contornos,euronews news world conflict europe armenia azerbaijan conflicto nagorno k arab ajc on tornos,       - El  en  amplía sus   a través de ,        El  en  amplía sus   a través de ,Azerbaijan_Armenia
898,2020-09-30 10:27:35,conflict,#News #World #Conflict #Europe #Armenia #Azerbaijan - Duras #imágenes de los #combates en #NagornoKarabaj,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,News World Conflict Europe Armenia Azerbaijan imágenes combates NagornoKarabaj,news world conflict europe armenia azerbaijan im genes combat es nagorno kara baj,      - Duras  de los  en ,       Duras  de los  en ,Azerbaijan_Armenia
899,2020-09-30 10:24:13,conflict,#BBC #News #World #Conflict #Europe #Armenia #Azerbaijan #Newshour - Armenia and Azerbaijan #fight over #disputed #NagornoKarabakh #region ...,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,BBC News World Conflict Europe Armenia Azerbaijan Newshour fight disputed NagornoKarabakh region,bbc news world conflict europe armenia azerbaijan newshour fight disputed nagorno karabakh region,        - Armenia and Azerbaijan  over    ...,         Armenia and Azerbaijan  over    ,Azerbaijan_Armenia
900,2020-09-30 10:18:23,conflict,#BBC #News #World #Conflict #Europe #Armenia #Azerbaijan - #Violence Erupts In #NagornoKarabakh ...,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,BBC News World Conflict Europe Armenia Azerbaijan Violence NagornoKarabakh,bbc news world conflict europe armenia azerbaijan violence nagorno karabakh,       -  Erupts In  ...,         Erupts In  ,Azerbaijan_Armenia
901,2020-09-30 10:16:41,conflict,#BBC #News #World #Conflict #Europe #Armenia #Azerbaijan - #Turkey calls for #Armenian #withdrawal from disputed #NagornoKarabakh ...,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,BBC News World Conflict Europe Armenia Azerbaijan Turkey Armenian withdrawal NagornoKarabakh,bbc news world conflict europe armenia azerbaijan turkey armenian withdrawal nagorno karabakh,       -  calls for   from disputed  ...,         calls for   from disputed  ,Azerbaijan_Armenia
902,2020-09-30 10:14:42,conflict,#BBC #News #World #Conflict #Europe #Armenia #Azerbaijan - Armenia-Azerbaijan: What's #behind the #NagornoKarabakh conflict? ...,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,BBC News World Conflict Europe Armenia Azerbaijan behind NagornoKarabakh,bbc news world conflict europe armenia azerbaijan behind nagorno karabakh,       - Armenia-Azerbaijan: What's  the  conflict? ...,        ArmeniaAzerbaijan Whats  the  conflict ,Azerbaijan_Armenia
903,2020-09-30 10:05:52,conflict,#BBC #News #World #Conflict #Europe #Armenia #Azerbaijan - Armenia and Azerbaijan #fight over #disputed #NagornoKarabakh #region ...,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,BBC News World Conflict Europe Armenia Azerbaijan fight disputed NagornoKarabakh region,bbc news world conflict europe armenia azerbaijan fight disputed nagorno karabakh region,       - Armenia and Azerbaijan  over    ...,        Armenia and Azerbaijan  over    ,Azerbaijan_Armenia
904,2020-09-30 10:04:04,conflict,#BBC #News #World #Conflict #Europe - #Armenia-#Azerbaijan conflict: #Casualties mount in #NagornoKarabakh #battle ...,,,1.0,ivanturmero,"POZ, CCS-DF, VENEZUELA","4,440","2,857",0,BBC News World Conflict Europe Armenia Azerbaijan Casualties NagornoKarabakh battle,bbc news world conflict europe armenia azerbaijan casualties nagorno karabakh battle,     - - conflict:  mount in   ...,       conflict  mount in   ,Azerbaijan_Armenia
906,2020-09-30 09:42:26,conflict,"Armenia and Azerbaijan war over the Nagorno-Karabakh region&nbsp;has entered fourth day and is the heaviest seen in the long-running conflict since 2016

https://buff.ly/2GpwhPL
_______
#Armenia #Azerbaijan #Russia #Turkey #NagornoKarabakh #Caucasus #Warzone #conflict",,1.0,1.0,BizTekIndia,India/Malaysia,72,7,0,Armenia Azerbaijan Russia Turkey NagornoKarabakh Caucasus Warzone conflict,armenia azerbaijan russia turkey nagorno karabakh caucasus warzone conflict,Armenia and Azerbaijan war over the Nagorno-Karabakh region&nbsp;has entered fourth day and is the heaviest seen in the long-running conflict since        ,Armenia and Azerbaijan war over the NagornoKarabakh regionnbsphas entered fourth day and is the heaviest seen in the longrunning conflict since        ,Azerbaijan_Armenia
907,2020-09-30 09:34:41,conflict,"The question of involving #Russia into the Nagorno #Karabakh #conflict was not discussed with #VladimirPutin  

#Armenia does not consider deploying peacekeepers in the conflict zone 

Armenia wants to build qualitatively new relations with Russia.
@NikolPashinyan @KremlinRussia",,,,AzaSargsyan,"Armenia, Yerevan",111,59,0,Russia Karabakh conflict VladimirPutin Armenia,russia karabakh conflict vladimir put in armenia,The question of involving  into the Nagorno   was not discussed with    does not consider deploying peacekeepers in the conflict zone Armenia wants to build qualitatively new relations with Russia. ,The question of involving  into the Nagorno   was not discussed with    does not consider deploying peacekeepers in the conflict zone Armenia wants to build qualitatively new relations with Russia ,Azerbaijan_Armenia
908,2020-09-30 09:26:02,conflict,"Read new blog on Current Conditions of Middle East...

World Peace or World Piece?

https://amacblog1.blogspot.com/2020/09/world-war-3.html…

#MiddleEast #NagornoKarabakh #RecepTayyipErdogan #Azerbaijan #Azerbaijani #Azerbaycan #AzerbaijanIsNotAlone #Armenia #Armenians #Nagorno_Karabakh #conflict",,,1.0,AkashMacwan5,Nadiad,10,13,0,MiddleEast NagornoKarabakh RecepTayyipErdogan Azerbaijan Azerbaijani Azerbaycan AzerbaijanIsNotAlone Armenia Armenians Nagorno_Karabakh conflict,middle east nagorno karabakh recep tayyip erdogan azerbaijan azerbaijani azerbaycan azerbaijan is not alone armenia armenians nagorno karabakh conflict,Read new blog on Current Conditions of Middle East...World Peace or World Piece?…          ,Read new blog on Current Conditions of Middle EastWorld Peace or World Piece…          ,Azerbaijan_Armenia
911,2020-09-30 08:46:52,conflict,"Morning Brief – Turkish Lira - SGM-FX Innovative Foreign Exchange Services https://sgm-fx.com/morning-brief-turkish-lira-2/#.X3RF9S-OSCA.twitter…
#Turkey #Lira #economy #caucasus #conflict #Armenia #Azerbaijan #market #interestrate #currency #TRL #USD #GBP #UK #policies #EU #France #continuity #EUR #ecology #RayPeterson",,1.0,,SGMFX,"City of London, London",142,137,0,Turkey Lira economy caucasus conflict Armenia Azerbaijan market interestrate currency TRL USD GBP UK policies EU France continuity EUR ecology RayPeterson,turkey lira economy caucasus conflict armenia azerbaijan market interest rate currency trl usd gbp uk policies eu france continuity eur ecology ray peterson,Morning Brief – Turkish Lira - SGM-FX Innovative Foreign Exchange Services …                    ,Morning Brief – Turkish Lira  SGMFX Innovative Foreign Exchange Services …                    ,Azerbaijan_Armenia
913,2020-09-30 08:35:20,conflict,"#Azerbaijan has been embroiled in a #conflict in recent days, and clashes with its neighbor #Armenia have so far claimed nearly 100 lives, including civilians.
#AzerbaijanVsArmenia",,,1.0,PkGazette,Pakistan,110,6,0,Azerbaijan conflict Armenia AzerbaijanVsArmenia,azerbaijan conflict armenia azerbaijan vs armenia," has been embroiled in a  in recent days, and clashes with its neighbor  have so far claimed nearly  lives, including civilians.", has been embroiled in a  in recent days and clashes with its neighbor  have so far claimed nearly  lives including civilians,Azerbaijan_Armenia
917,2020-09-30 08:22:02,conflict,"#Conflict ; #Governance Evidence Summary No.19 is available on the #COVID19 Resource Hub  https://buff.ly/2XiXObL

This week incl. evidence from @fp2p @SobhiMohanty @UNFPA @RegulationAsia ; others

@SianHerbert @GSDRC @FCDOREDGCSD @FCDOHumRsch",,1.0,1.0,K4D_info,,585,"1,093",0,Conflict Governance COVID19,conflict governance covid19, ;  Evidence Summary No. is available on the  Resource Hub   week incl. evidence from     ; others   ,   Evidence Summary No is available on the  Resource Hub   week incl evidence from      others   ,covid
918,2020-09-30 08:09:42,conflict,The #internationalcommunity must do something about the #conflict in #Karabakh !!! Your silence is a crime! @realDonaldTrump @KremlinRussia @KremlinRussia_E @VP @VP @EmmanuelMacron @JustinTrudeau @UN,,,,SenyoritaAnita,"San Francisco, CA",15,33,0,internationalcommunity conflict Karabakh,international community conflict karabakh,The  must do something about the  in  !!! Your silence is a crime!        ,The  must do something about the  in   Your silence is a crime        ,Azerbaijan_Armenia
919,2020-09-30 07:58:21,conflict,"The #UNSC expressed concern on clashes over the enclave of NKR. They ""expressed concern over reports of large scale mil. actions along the Line of Contact in the Nagorno-#Karabakh #conflict zone"" ; ""strongly condemn the use of force.""",,1.0,,Dani94627207,Armenia,68,22,0,UNSC Karabakh conflict,unsc karabakh conflict,"The  expressed concern on clashes over the enclave of NKR. They ""expressed concern over reports of large scale mil. actions along the Line of Contact in the Nagorno-  zone"" ; ""strongly condemn the use of force.""",The  expressed concern on clashes over the enclave of NKR They expressed concern over reports of large scale mil actions along the Line of Contact in the Nagorno  zone  strongly condemn the use of force,Azerbaijan_Armenia
920,2020-09-30 07:56:30,conflict,#SelfDetermination #conflict #NagornoKarabakh #ArtsakhStrong #StopWar #StopErdogan  Let the population decide!,,,,prima_zhanna,Armenia,123,81,0,SelfDetermination conflict NagornoKarabakh ArtsakhStrong StopWar StopErdogan,self determination conflict nagorno karabakh artsakh strong stop wars top erdogan,       Let the population decide!,       Let the population decide,Azerbaijan_Armenia
921,2020-09-30 07:45:52,conflict,"https://youtu.be/8sLoXYTaih8 Battle footage from the Karabakh frontline, filmed by our studio. War is now raging in the Caucasus  Still no end in sight. #NagornoKarabakh #War #Artsakh  #Armenian #Soldiers #ArmeniaVSAzerbaijan #conflict",,,,GeorgeXplores,,46,12,0,NagornoKarabakh War Artsakh Armenian Soldiers ArmeniaVSAzerbaijan conflict,nagorno karabakh war artsakh armenian soldiers armenia vs azerbaijan conflict," Battle footage from the Karabakh frontline, filmed by our studio. War is now raging in the Caucasus  Still no end in sight.        ", Battle footage from the Karabakh frontline filmed by our studio War is now raging in the Caucasus  Still no end in sight        ,Azerbaijan_Armenia
922,2020-09-30 07:37:32,conflict,"Check out our Bulletin N° 010 on "" #COVID__19 and #humanitarian #Crisis: A look at the conflict hit North West and South West Regions of Cameroon"" written by the Coronavirus taskforce @NkafuPolicyInst 
https://nkafu.org/blog-post/covid-19-and-humanitarian-crisis-a-look-at-the-conflict-hit-north-west-and-south-west-regions-of-cameroon/…
#COVID19 #Cameroon #conflict",,1.0,,ForetiaFound,Yaounde - Cameroon,499,888,0,COVID__19 humanitarian Crisis COVID19 Cameroon conflict,covid19 humanitarian crisis covid19 cameroon conflict,"Check out our Bulletin N°  on ""  and  : A look at the conflict hit North West and South West Regions of Cameroon"" written by the Coronavirus taskforce  …  ",Check out our Bulletin N°  on   and   A look at the conflict hit North West and South West Regions of Cameroon written by the Coronavirus taskforce  …  ,covid
934,2020-09-27 23:42:57,war,"Waiting for #response from #UN, #Russia #NATO #EU on #Turkey supporting #AzerbaijanAgression and #war. #TurkeyIsATerrorState",,,,Lusinw,,474,332,0,response UN Russia NATO EU Turkey AzerbaijanAgression war TurkeyIsATerrorState,response un russia nato eu turkey azerbaijan agression war turkey is a terror state,"Waiting for  from ,    on  supporting  and . ",Waiting for  from     on  supporting  and  ,Azerbaijan_Armenia
935,2020-09-27 23:40:25,war,#Armenia #Azerbaijan #war #Türkei #Natopartner,,,1.0,SolveigZilly,,"1,191",430,0,Armenia Azerbaijan war Türkei Natopartner,armenia azerbaijan war tr kei nato partner,    ,    ,Azerbaijan_Armenia
936,2020-09-27 23:32:15,war,Who is right? Azerbaijan/Qarabaq or Armenia/Artsakh #caucaus #artsakh #NagornoKarabakh #nagorno #azerbaijan #baku #Karabakh #Armenia #KarabakhisAzerbaijan #ArtsakhStrong #war #conflict,1.0,,,AgonTurkaj,Kosovo,145,41,0,caucaus artsakh NagornoKarabakh nagorno azerbaijan baku Karabakh Armenia KarabakhisAzerbaijan ArtsakhStrong war conflict,cauca us artsakh nagorno karabakh nagorno azerbaijan baku karabakh armenia karabakh is azerbaijan artsakh strong war conflict,Who is right? Azerbaijan/Qarabaq or Armenia/Artsakh            ,Who is right AzerbaijanQarabaq or ArmeniaArtsakh            ,Azerbaijan_Armenia
937,2020-09-27 22:54:20,war,"This means that the #war will go on for a couple of days.

Please donate to http://himnadram.org 



#IStandWithArmenia #IStandWithArtsakh 
#Armenia #Artsakh #DefendArmenia #ArtsakhisArmenia #StopAliyev #WeWillWin #հաղթելուենք

https://twitter.com/armeniamodteam/status/1310230961813180416…",,,2.0,TheArmenianBoy,IN GOD'S HANDS,"2,805","1,040",0,war IStandWithArmenia IStandWithArtsakh Armenia Artsakh DefendArmenia ArtsakhisArmenia StopAliyev WeWillWin հաղթելուենք,war i stand with armenia i stand with artsakh armenia artsakh defend armenia artsakh is armenia stop aliyev we will win,This means that the  will go on for a couple of days.Please donate to          …,This means that the  will go on for a couple of daysPlease donate to          …,Azerbaijan_Armenia
938,2020-09-27 22:50:25,war,"@POTUS  Don‘t call it „Escalation“, 
because this is a #war initiated by Azerbaijani dictator Aliev and Turkish dictator Erdogan.

#StopAzerbaijaniAggression #Armenia #NKpeace #ArtsakhStrong",1.0,,,Elischok,,207,"1,011",0,war StopAzerbaijaniAggression Armenia NKpeace ArtsakhStrong,wars top azerbaijani aggression armenian k peace artsakh strong,"  Don‘t call it „Escalation“, because this is a  initiated by Azerbaijani dictator Aliev and Turkish dictator Erdogan.   ",  Don‘t call it „Escalation“ because this is a  initiated by Azerbaijani dictator Aliev and Turkish dictator Erdogan   ,Azerbaijan_Armenia
940,2020-09-27 22:46:52,war,#WAR Breaks out #Armenia #Azerbaijan #Turkey #Syria #Russia,,3.0,1.0,FuryanAlpha,,"1,125",460,0,WAR Armenia Azerbaijan Turkey Syria Russia,war armenia azerbaijan turkey syria russia, Breaks out     , Breaks out     ,Azerbaijan_Armenia
941,2020-09-27 22:36:31,war,"Follow peace! Let's fight the war.  
#IstandWithArmenia #Armenia #war #Karabakh #Nagorno #ArmeniaIsNotAlone #Armenien #Armenianoccupation #ArmeniansWorldWide #armeniawantspeace 
#peace #Azerbaijan #KarabakhisAzerbaijan #Αρμενία #Armenian #Azerbaijani #peace #Warzone #Armania",,1.0,7.0,kyriakospapad,"Κοζάνη, Ελλάς",227,679,0,IstandWithArmenia Armenia war Karabakh Nagorno ArmeniaIsNotAlone Armenien Armenianoccupation ArmeniansWorldWide armeniawantspeace peace Azerbaijan KarabakhisAzerbaijan Αρμενία Armenian Azerbaijani peace Warzone Armania,i stand with armenia armenia war karabakh nagorno armenia is not alone armenien armenian occupation armenians worldwide armenia wants peace peace azerbaijan karabakh is azerbaijan armenian azerbaijani peace warzone armani a,Follow peace! Let's fight the war.                    ,Follow peace Lets fight the war                    ,Azerbaijan_Armenia
942,2020-09-27 22:34:46,war,"Only #Turkey supported the #war in the #world about the #Armenian #Azeri #conflict that started today.
As all countries and international organizations call for #ceasefire, the Palace and the media continue to fight.
War is a disaster!
#ArtsakhStrong #StopAzerbaijaniAggression",,,,lia_mkhitaryan,"Yerevan, Armenia",498,799,0,Turkey war world Armenian Azeri conflict ceasefire ArtsakhStrong StopAzerbaijaniAggression,turkey war world armenian azeri conflict ceasefire artsakh strong stop azerbaijani aggression,"Only  supported the  in the  about the    that started today.As all countries and international organizations call for , the Palace and the media continue to fight.War is a disaster! ",Only  supported the  in the  about the    that started todayAs all countries and international organizations call for  the Palace and the media continue to fightWar is a disaster ,Azerbaijan_Armenia
943,2020-09-27 22:32:38,war,"#Azerbaijani authorities are catching #Lezgin and #Talysh young boys straight from the houses or from the streets to send them to fight against Armenians to the frontline!
#Artsakh #ArtsakhStrong #Armenia #Karabakh #Azerbaycan #Turkey #War",6.0,31.0,35.0,Fobusyan,Armenia,360,464,0,Azerbaijani Lezgin Talysh Artsakh ArtsakhStrong Armenia Karabakh Azerbaycan Turkey War,azerbaijan ilezgintalyshartsakh artsakh strong armenia karabakh azerbaycan turkey war, authorities are catching  and  young boys straight from the houses or from the streets to send them to fight against Armenians to the frontline!      , authorities are catching  and  young boys straight from the houses or from the streets to send them to fight against Armenians to the frontline      ,Azerbaijan_Armenia
944,2020-09-27 22:30:26,war,Russian Troops Move into Belarus https://youtu.be/o5Pmch9nHLo via @YouTube #WW3 #Russia #Belarus #NATO #PLA #USMilitary #SyriaOnFire #IsraelUAEDeal #IranRegimeChange #ChinaIndiaStandOff #IndiaChinaStandoff #TurkeyIsNotAlone #Greece_under_attacκ #Military #War #Standoff  #LOC #LAC,,,1.0,WWN10788278,,0,4,0,WW3 Russia Belarus NATO PLA USMilitary SyriaOnFire IsraelUAEDeal IranRegimeChange ChinaIndiaStandOff IndiaChinaStandoff TurkeyIsNotAlone Greece_under_attacκ Military War Standoff LOC LAC,ww3russiabelarusnatopla us military syria on fire israel uae deal iran regime change china india standoff india china standoff turkey is not alone greece under attac military war standoff loc lac,Russian Troops Move into Belarus  via                    ,Russian Troops Move into Belarus  via                    ,Turkey
948,2020-09-27 22:24:09,war,"#war is Humanity's death.   
#IstandWithArmenia #Armenia #war #Karabakh #Nagorno #ArmeniaIsNotAlone #Armenien #Armenianoccupation #ArmeniansWorldWide #armeniawantspeace 
#peace #Azerbaijan #KarabakhisAzerbaijan #Αρμενία #Armenian #Azerbaijani #peace #Warzone",4.0,,8.0,kyriakospapad,"Κοζάνη, Ελλάς",227,679,0,war IstandWithArmenia Armenia war Karabakh Nagorno ArmeniaIsNotAlone Armenien Armenianoccupation ArmeniansWorldWide armeniawantspeace peace Azerbaijan KarabakhisAzerbaijan Αρμενία Armenian Azerbaijani peace Warzone,war i stand with armenia armenia war karabakh nagorno armenia is not alone armenien armenian occupation armenians worldwide armenia wants peace peace azerbaijan karabakh is azerbaijan armenian azerbaijani peace warzone, is Humanity's death.                    , is Humanitys death                    ,Azerbaijan_Armenia
949,2020-09-27 22:23:42,war,"आर्मेनिया-अझरबैजान लढाईत १६ ठार #war #armenia #azerbaijan #Video 
https://timesnowmarathi.com/india-news-international/article/armenia-azerbaijan-war/314637…",,,1.0,timesnowmarathi,,149,"1,414",0,war armenia azerbaijan Video,war armenia azerbaijan video,आर्मेनिया-अझरबैजान लढाईत १६ ठार     …,आर्मेनियाअझरबैजान लढाईत १६ ठार     …,Azerbaijan_Armenia
952,2020-09-27 22:13:49,war,"Take an #Intelligence #History
break! A quick ; fairly neutral lesson on the post-#Soviet #war over the #Armenian enclave among the #Azerbaijani, ; Stalin's #strategy of stopping #Rebellion by #mapping ethnicites apart became the post-#Soviet Sikes-Picot.",1.0,,,RedQRedT,Somewhere Socially Distant,"1,853","1,861",0,Intelligence History Soviet war Armenian Azerbaijani strategy Rebellion mapping Soviet,intelligence history soviet war armenian azerbaijani strategy rebellion mapping soviet,"Take an  break! A quick ; fairly neutral lesson on the post-  over the  enclave among the , ; Stalin's  of stopping  by  ethnicites apart became the post- Sikes-Picot.",Take an  break A quick  fairly neutral lesson on the post  over the  enclave among the   Stalins  of stopping  by  ethnicites apart became the post SikesPicot,Azerbaijan_Armenia
954,2020-09-27 22:10:27,war,"आर्मेनिया-अझरबैजान लढाईत १६ ठार
https://timesnowmarathi.com/india-news-international/article/armenia-azerbaijan-war/314637… #war #armenia #azerbaijan",,1.0,,timesnowmarathi,,149,"1,414",0,war armenia azerbaijan,war armenia azerbaijan,आर्मेनिया-अझरबैजान लढाईत १६ ठार…   ,आर्मेनियाअझरबैजान लढाईत १६ ठार…   ,Azerbaijan_Armenia
963,2020-09-27 21:36:57,war,"New #War begins in South Asian region.
Turkish Unmanned aerial vehicles. In the skies of Armenia.
Azerbaijan's enemy is the enemy of Turkey.  
;
Turkey's enemy is the enemy of Pakistan. 

#AzerbaijanIsNotAlone",1.0,2.0,11.0,Qasimbugti81,"Lahore, Pakistan",596,120,0,War AzerbaijanIsNotAlone,war azerbaijan is not alone,New  begins in South Asian region.Turkish Unmanned aerial vehicles. In the skies of Armenia.Azerbaijan's enemy is the enemy of Turkey.  ;Turkey's enemy is the enemy of Pakistan. ,New  begins in South Asian regionTurkish Unmanned aerial vehicles In the skies of ArmeniaAzerbaijans enemy is the enemy of Turkey  Turkeys enemy is the enemy of Pakistan ,Azerbaijan_Armenia
966,2020-09-27 21:08:54,war,"#Armenia Orders 'Full Troop #MOBILIZATION' Against #Azerbaijan As #Tanks Clash, #MartialLaw Declared! https://zerohedge.com/geopolitical/armenia-declares-war-martial-law-effect-tank-warfare-azerbaijan-erupts-disputed…  Two #islamic dictators attack #Christian Armenia and want to create a #SecondArmenianGenocide
#Turkey #Erdogan #NATO #USA #EU #War #NagornoKarabakh",,,,Aethonaia,,"4,775","3,698",0,Armenia MOBILIZATION Azerbaijan Tanks MartialLaw islamic Christian SecondArmenianGenocide Turkey Erdogan NATO USA EU War NagornoKarabakh,armenia mobilization azerbaijan tanks martial law islamic christian second armenian genocide turkey erdogan nato usa eu war nagorno karabakh," Orders 'Full Troop ' Against  As  Clash,  Declared! …  Two  dictators attack  Armenia and want to create a       ", Orders Full Troop  Against  As  Clash  Declared …  Two  dictators attack  Armenia and want to create a       ,Azerbaijan_Armenia
968,2020-09-27 20:41:03,war,#canale900 #italia #italy #CrotoneMilan #90giorniperinnamorarsi #Armenia #Imola2020 #chetempochefa #SaveBayYanlis #CatalanGP #COVIDー19 #Suarez #BenvenutoACasaVictor #AlessandraMastronardi #LinoGuanciale #NonelArena #air #airplane #airforce #war #follow #folllowme #youtube,,,,900Canale,,543,58,0,canale900 italia italy CrotoneMilan 90giorniperinnamorarsi Armenia Imola2020 chetempochefa SaveBayYanlis CatalanGP COVIDー19 Suarez BenvenutoACasaVictor AlessandraMastronardi LinoGuanciale NonelArena air airplane airforce war follow folllowme youtube,can ale900 italia italy crotone milan 90giorniperinnamorarsi armenia imola2020chetempochefa save bay yanliscatalangpcovid19 suarez benvenuto a casa victor alessandra mastro nardilinoguancialenonel arena air airplane air force war follow foll low me youtube,                      ,                      ,Azerbaijan_Armenia
